id;Abréviation;Définition;empty
14173.0;RAS;Rien à  signaler;
2857.0;RC;ROCHEFORT (GARE);
14260.0;RC;Réservoir de Commande;
12194.0;RC;Redevance de circulation;
2860.0;RCP;RONCHAMP (GARE);
7869.0;RDP;Revue de définition préliminaire;
2870.0;RDZ;RODEZ (GARE);
5483.0;REA;Réalisation / Réalisé;
13240.0;REE;Remise en état;
7882.0;RÉGULATEUR;Agent chargé d'assurer le suivi des trains en ligne et de prendre les mesures pour faire face à  une anomalie (demande de secours, accident de personne...) pour minimiser au maximum les conséquences sur la régularité - il se trouve au pc;
5504.0;RIF;Région ile de france;
2901.0;RIO;RIOM (GARE);
14255.0;RIOM;Remote Inputs/Outputs Modules (terme équivalent à  MESD);
2902.0;RIS;RIS ORANGIS (GARE);
2912.0;RMT;ROUEN MARTAINVILLE (GARE);
5514.0;RO;Raté d'ouverture (d'un signal pour les circulations ferroviaires);
7937.0;RQI;Revue de qualification interne;
14103.0;RRO;Responsable Régional Opérationnel;
13567.0;RSE;Responsabilité sociale (ou sociétale) des entreprises;
14017.0;RSR;Responsable Suivi Ressources;
2946.0;RSS;radio et système de surface;
2949.0;RSZ;SCHWETZINGEN (GARE);
2954.0;RTL;RETHEL (GARE);
2980.0;RYT;AEROP 2 CH DE GAULLE - TGV (GARE);
8000.0;SB;Sans billet;
3036.0;SCI;SAINT MARCELLIN (ISERE) (GARE);
13266.0;Secteur BVC;Secteur Bourrage - Végétation - équipe Courbes;
12206.0;SEVT;Système d'exploitation des ventes transversales;
8042.0;SF;Stable au feu;
3111.0;SGL;VEAUCHE SAINT GALMIER (GARE);
3130.0;SHR;STE CHRISTIE (GARE);
5633.0;SI;Valeur sans intervention entre vo et va (maintenance caténaire);
3138.0;SIH;ST CHRISTOPHE(AVEYRON) (GARE);
5651.0;SILAM;Système informatisé local d'aide à  la maintenance : mémorise les états et les défauts du système et est utilisé pour la prise de dispositions techniques s6 - voir sicam;
12208.0;SIM;Système d'information multimodale;
3145.0;SIO;SISTERON (GARE);
13518.0;SIVE-M;Système d'Informations Voyageur Embarqué du Matériel;
3187.0;SLF;SAINT LEU LA FORET (GARE);
3209.0;SME;ST MARTIN D'ETAMPES (GARE);
13471.0;SMGL;Site de Maintenance et de Garage en Ligne;
8066.0;SMJ;Soufflage mesure des joints;
8067.0;SMP;Symetric multiprocessing ( architecture matérielle et logicielle permettant d'utiliser plusieurs processeurs );
3222.0;SMZ;ST MEDARD DE GUIZ. (GARE);
